,name,party,label,link
223,Lipiec Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=217&type=A
224,Lipiński Adam,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=218&type=A
225,Litwiński Arkadiusz,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=219&type=A
226,Łapiński Marek,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=220&type=A
227,Łatas Marek,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=221&type=A
228,Ławrynowicz Zofia,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=222&type=A
229,Łopata Jan,PSL,wiceprzewodniczący klubu,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=223&type=A
230,Machałek Marzena,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=227&type=A
231,Maciaszek Robert,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=494&type=A
232,Maciejewski Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=502&type=A
233,Macierewicz Antoni,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=228&type=A
234,Makowski Tomasz,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=229&type=A
235,Malik Ewa,PiS,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=230&type=A
236,Maliszewski Mirosław,PSL,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=231&type=A
237,Małecka-Libera Beata,PO,None,http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=232&type=A
