,name,party,label,link
136,Janyska Maria Małgorzata,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=136&type=A
137,Jaros Michał,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=137&type=A
138,Jarubas Krystian,PSL,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=138&type=A
139,Jasiński Wojciech,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=139&type=A
140,Jaskóła Tomasz,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=140&type=A
141,Jaworski Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=141&type=A
142,Jędrysek Mariusz Orion,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=142&type=A
143,Józwiak Bartosz,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=143&type=A
144,Jurgiel Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=144&type=A
145,Kaczmarczyk Norbert,Kukiz15,członek zarządu klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=145&type=A
146,Kaczyński Jarosław,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=146&type=A
147,Kaleta Piotr,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=147&type=A
148,Kamińska Bożena,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=148&type=A
149,Kamiński Mariusz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=149&type=A
150,Kamiński Michał,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=150&type=A
151,Karpiński Włodzimierz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=151&type=A
152,Kasprzak Mieczysław,PSL,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=152&type=A
153,Kempa Beata,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=153&type=A
154,Kidawa-Błońska Małgorzata,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=154&type=A
155,Kierwiński Marcin,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=155&type=A
156,Kilian Jan,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=156&type=A
157,Klawiter Jan,niez.,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=157&type=A
158,Kloc Izabela,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=158&type=A
159,Kluzik-Rostkowska Joanna,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=159&type=A
160,Kłopotek Eugeniusz,PSL,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=160&type=A
161,Kłosowski Sławomir,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=161&type=A
162,Kobylarz Andrzej,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=162&type=A
163,Kobyliński Paweł,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=163&type=A
164,Kochan Magdalena,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=164&type=A
165,Kołacz-Leszczyńska Agnieszka,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=165&type=A
166,Kołakowski Lech,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=166&type=A
167,Kołakowski Robert,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=167&type=A
168,Konwiński Zbigniew,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=168&type=A
169,Kopacz Ewa,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=169&type=A
170,Kopcińska Joanna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=170&type=A
171,Korol Adam,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=171&type=A
172,Korzeniowski Leszek,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=172&type=A
173,Kosecki Roman Jacek,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=173&type=A
174,Kosiniak-Kamysz Władysław,PSL,przewodniczący klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=174&type=A
175,Kossakowski Wojciech,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=175&type=A
176,Kostuś Tomasz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=176&type=A
177,Kosztowniak Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=177&type=A
178,Kotowski Kazimierz,PSL,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=178&type=A
179,Kowalczyk Henryk,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=179&type=A
180,Kownacki Bartosz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=180&type=A
181,Kozanecka Ewa,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=181&type=A
182,Kozłowski Jerzy,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=182&type=A
183,Kraczkowski Maks,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=183&type=A
184,Krajewski Jarosław,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=184&type=A
185,Krajewski Wiesław,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=185&type=A
186,Krasulski Leonard,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=186&type=A
187,Kropiwnicki Robert,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=187&type=A
188,Król Piotr,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=188&type=A
189,Król Wojciech,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=189&type=A
190,Kruk Elżbieta,PiS,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=190&type=A
191,Krupka Anna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=191&type=A
192,Kryj Andrzej,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=192&type=A
193,Krynicka Bernadeta,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=193&type=A
194,Krząkała Marek,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=194&type=A
195,Krzywonos-Strycharska Henryka,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=195&type=A
196,Kubiak Dariusz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=196&type=A
197,Kubów Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=197&type=A
198,Kucharski Tomasz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=198&type=A
199,Kuchciński Marek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=199&type=A
200,Kukiz Paweł,Kukiz15,przewodniczący klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=200&type=A
201,Kulesza Jakub,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=201&type=A
202,Kurzępa Jacek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=203&type=A
203,Kwiecień Anna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=204&type=A
204,Kwitek Marek,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=205&type=A
205,Lamczyk Stanisław,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=206&type=A
206,Lassota Józef,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=207&type=A
207,Latos Tomasz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=208&type=A
208,Latosiński Bogdan,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=209&type=A
209,Lenartowicz Gabriela,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=210&type=A
210,Lenz Tomasz,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=211&type=A
211,Leszczyna Izabela,PO,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=212&type=A
212,Leśniak Józef,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=213&type=A
213,Lichocka Joanna,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=214&type=A
214,Lieder Ewa,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=215&type=A
215,Lipiec Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=216&type=A
216,Lipiński Adam,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=217&type=A
217,Liroy-Marzec Piotr,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=218&type=A
218,Lisiecki Paweł,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=219&type=A
219,Lubczyk Radosław,N,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=220&type=A
220,Lubnauer Katarzyna,N,wiceprzewodnicząca klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=221&type=A
221,Łapiński Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=222&type=A
222,Ławniczak Tomasz,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=223&type=A
223,Łopata Jan,PSL,członek prezydium klubu,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=224&type=A
224,Machałek Marzena,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=225&type=A
225,Maciejewski Andrzej,Kukiz15,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=226&type=A
226,Maciejewski Krzysztof,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=227&type=A
227,Macierewicz Antoni,PiS,None,http://www.sejm.gov.pl/Sejm8.nsf/posel.xsp?id=228&type=A
